image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.jpg,29.516687,18.999702,5.2766695,9.854261,50.6402,8.684813,5.1197042,9.942494,11.060494,9.861703,13.668755,1.4220964,17.989824,0.0,4.4026074,0.0,10.644315,14.973298,8.406125,0.0,2.7168286,0.0,1.5204947,1.1735884,7.741072,4.7246137,0.0,0.0,0.0,1.8053137,5.3601837,5.435787,5.275155,0.64099747,0.065826625,0.0,0.64224774,0.0,10.810714,0.0,0.0,5.860852,7.999523,10.730949,5.1767035,3.7822251,1.5021608,2.2893574,0.933622
1.jpg,25.152287,47.81213,3.8229876,5.902512,41.269802,13.188037,0.7755652,1.974078,9.975295,1.4430116,6.709994,1.8869445,5.3588147,0.0,1.341188,2.4168637,8.782698,10.41986,15.4698,0.33794576,0.0,0.0,0.0,0.6811701,0.7176475,16.563538,0.0,0.0,2.132754,0.0,3.9810262,3.7548747,1.1278175,0.8253667,3.5355368,0.0,0.0,0.112800345,3.4203253,2.9803534,0.0,2.9180346,0.0,9.261918,0.15606591,1.082671,0.0,1.9096566,0.020062178
2.jpg,34.95852,22.112644,0.0,14.27169,51.663197,4.7874866,2.2620869,6.6387796,12.800634,0.9983996,11.695003,0.0,6.626144,0.0,3.524989,0.0,11.790241,13.672449,9.906513,2.0964925,2.9477353,0.0,4.8174596,0.0,7.649932,7.2298794,0.0,0.0,1.1424336,0.72566366,5.8332496,4.633805,6.768869,2.7057524,1.0649966,0.47880343,1.2126764,0.0,6.999523,0.0,0.0,7.4706435,7.3238654,13.964345,4.5077333,1.7383258,1.0479499,2.3252823,3.7682936
3.jpg,22.230587,43.609123,5.474538,8.8549,43.7685,8.458647,1.7537501,4.308165,9.019744,5.1788173,2.0508275,2.3343966,8.449308,0.0,3.5792298,0.97216517,0.0,8.33313,17.561821,0.0,2.3356874,0.0,1.6185536,0.8384608,5.8365607,6.7975173,0.0,0.0,3.9635274,0.40998432,0.0,4.235219,12.448043,4.1600285,2.5106945,0.0,0.0,2.2529151,3.4852722,4.261838,0.0,8.129322,0.0,6.8697224,1.5014434,0.34530163,1.4062291,0.6203333,0.117695145
4.jpg,29.14316,36.755234,0.4353011,9.810659,45.08498,16.961592,0.0,2.7093022,4.101438,4.473213,9.724103,7.0091085,16.963951,0.0,4.129705,0.0,0.0,6.4252095,17.787073,0.8883889,4.6475043,0.0,1.3941021,3.0269396,5.5489054,3.780299,0.0,1.7575659,2.1339142,0.0,0.30996615,2.7050548,6.1287165,3.5097194,2.5742586,0.0,0.0,4.5385847,7.7519937,3.7916808,0.0,10.403729,1.6201642,6.5855713,3.0052776,0.63225895,1.1394851,0.33410144,0.0
5.jpg,38.81736,37.685364,3.3093042,13.242701,41.721508,10.591772,1.719696,3.1990566,7.4456534,5.4465375,7.8088,2.120852,6.487882,0.0,3.363718,5.395785,5.4570923,8.59144,13.379325,0.0,3.5162575,0.0,1.5690877,3.429523,3.9837368,2.9794314,0.0,0.0,5.7319155,3.8714898,4.8867946,2.195397,4.043525,1.3143178,3.8159285,0.0,0.0,1.019793,4.2662225,0.0,0.0,6.4487114,1.496486,7.169208,1.380491,1.0331969,1.430851,0.87166744,0.0
6.jpg,26.80816,46.264328,0.0,5.3343143,47.96734,8.303043,3.2893457,7.147809,17.5968,2.3575573,0.21022087,3.7523084,9.26441,0.0,1.7460561,0.7652965,3.7372105,9.068566,17.402458,0.20075533,4.0902624,0.0,1.367619,2.307269,7.4040046,4.8961945,0.58453655,0.0,1.9009567,0.47030616,0.0,6.228851,10.79995,5.2508473,2.7006655,0.0,0.2817695,6.782936,5.9325147,2.724988,0.0,8.494198,0.0,5.7755527,1.2310914,0.35798848,0.0,0.82353073,0.0
7.jpg,32.990776,35.91936,0.0,7.4491224,45.877354,17.24661,2.5452197,5.4551215,12.352168,0.082421586,6.298335,0.15276429,12.622523,0.0,6.3423,3.9094336,5.084784,8.121645,13.154647,1.7396318,2.3406978,0.0,3.0116653,2.8418043,5.536009,0.0,0.0,0.0,4.835318,2.6870687,4.3617,3.1220646,13.514855,5.2230787,2.424221,0.0,0.0,1.6739875,6.2342625,0.91237557,0.0,9.111966,3.6740613,9.972765,2.7496169,2.4186354,3.0788665,1.3905269,0.0
8.jpg,29.414917,42.378574,0.0,7.2145767,48.004284,7.958991,0.0,5.2251363,9.753302,3.3500485,11.142804,0.515629,15.803298,0.0,4.8690705,4.7110105,3.6609833,7.009199,18.48453,0.7243903,2.0116553,0.0,8.550206,1.0693094,6.999347,4.4767675,0.0,0.0,2.5316257,0.0,1.7907344,6.5693007,11.45515,5.9815755,1.2165679,0.0,0.0,3.4791873,7.0199504,5.3022847,0.0,7.320175,1.709647,5.830626,2.8309453,1.2254949,2.7812946,1.1905785,0.0
9.jpg,16.566036,43.836098,1.2666876,9.724162,42.513435,12.1853075,0.0,6.1049004,12.50266,6.288332,13.107636,2.3997066,5.056398,3.8695664,0.83120334,0.0,5.0004125,7.126282,15.781882,0.20569651,2.2651713,0.0,4.7588344,1.4948123,3.740159,5.28436,0.0,0.0,3.568583,4.840391,2.5803025,1.9202597,5.7700987,2.635701,3.949748,0.0,0.0,2.0984786,5.716376,2.9331532,0.0,8.269494,1.8335747,5.90255,2.641501,0.08913167,0.0,0.060096525,0.92672205
10.jpg,24.208014,34.648876,5.3200355,9.932652,44.980114,9.09866,2.9928904,4.3521767,13.100407,9.273946,8.209964,1.680635,6.03304,1.6789473,2.5207896,0.0414439,3.4464023,15.174869,15.137842,0.0,0.0,0.0,0.0,2.4982073,3.031387,13.345506,0.0,0.48731565,3.5302203,4.1491942,0.52794695,1.4826249,4.7168245,2.4083264,0.0,0.0,0.0,0.0,4.1324053,3.3203292,0.0,7.760113,1.8496994,11.14776,4.5088925,2.1033716,0.0,0.1702738,2.9983206
11.jpg,30.863523,35.455048,2.7983456,8.210148,48.296463,7.794387,0.6619919,2.0034134,15.134421,0.81214875,5.9624114,3.9473395,8.850391,0.0,3.8037121,3.2536879,0.6331592,7.7611856,20.652603,4.3180146,3.571498,0.0,2.4923694,1.8257525,3.451717,6.508336,0.0,0.0,4.3359265,0.0,4.555085,5.49091,13.078415,6.190713,1.8652513,0.0,0.0,3.9821093,4.488893,3.5773833,0.0,8.52761,2.9206111,5.31773,2.0242088,0.0,0.0,0.5200412,0.0
12.jpg,25.021618,30.468464,5.8772535,8.63072,48.457314,8.733942,0.5360175,7.0518174,17.071,5.851876,2.3906388,7.5973196,7.4965043,0.67106223,1.76146,2.6246443,0.0923929,9.769596,13.890017,1.475099,2.1172564,0.0,0.0,0.13726708,3.739436,8.100512,0.0,1.1098547,2.9759548,0.0,0.0,4.059225,9.417209,3.3247366,2.9962616,0.0,0.0,3.7078779,6.3639035,3.2079883,0.0,8.258611,1.3894191,5.9434404,2.5946074,0.0,0.057159595,0.0,0.0
